ID,租金,面积,房型,板块,朝向,rent
LF1645021686384295936,1300,95.0,2,大厂县城商圈,南,13.68421052631579
LF2765780369873059840,1750,126.0,3,大厂县城商圈,南 北,13.88888888888889
LF1574253782181609472,600,48.0,1,大厂县城商圈,南,12.5
LF2869406188083085312,800,84.0,3,大厂县城商圈,南 北,9.523809523809524
LF1573245199105130496,900,85.0,2,大厂县城商圈,南 北,10.588235294117647
LF1682653281031028736,1000,84.38,3,大厂县城商圈,南 北,11.851149561507468
LF1688752682463920128,600,75.0,2,大厂县城商圈,南,8.0
LF1694566954926342144,1500,93.0,2,大厂县城商圈,南,16.129032258064516
LF1694661726080860160,1600,89.5,3,大厂县城商圈,南 北,17.877094972067038
LF1700134167250993152,1400,78.46,2,大厂县城商圈,南 北,17.843487127198575
LF1679774744561319936,1200,97.0,2,大厂县城商圈,南,12.371134020618557
LF2876192732882141184,1950,127.0,3,大厂县城商圈,南 北,15.354330708661417
LF1636283321564528640,1000,86.42,2,大厂县城商圈,南,11.571395510298542
LF2837729901384040448,1800,127.0,3,大厂县城商圈,南 北,14.173228346456693
LF1719215084099600384,1200,60.19,1,燕顺路东商圈,东南,19.936866589134407
LF1718585850360496128,1400,88.46,2,燕顺路东商圈,东南,15.826362197603437
LF1707254945935261696,1400,85.0,2,燕顺路东商圈,南,16.470588235294116
LF1719223676974399488,1500,80.0,2,燕顺路东商圈,南 北,18.75
LF1607604140253380608,1450,98.54,2,燕顺路东商圈,西北,14.71483661457276
LF1719187110872743936,1300,77.59,2,燕顺路东商圈,南,16.754736435107617
LF1710980071080067072,1500,87.0,2,燕顺路东商圈,西北,17.24137931034483
LF1719241459116277760,2300,78.0,1,燕顺路东商圈,西,29.487179487179485
LF2878916391627390976,1600,120.0,3,燕顺路东商圈,南 北,13.333333333333334
LF1719242124186091520,1400,95.0,2,燕顺路东商圈,西北,14.736842105263158
LF1685868823309189120,1000,78.0,2,燕顺路东商圈,南,12.820512820512821
LF1608725389054574592,1400,85.0,2,燕顺路东商圈,南,16.470588235294116
LF1623264522720509952,1000,84.0,2,燕顺路东商圈,南,11.904761904761905
LF1623185150718246912,1000,82.0,2,燕顺路东商圈,南,12.195121951219512
LF1653617635448848384,1200,89.9,2,燕顺路东商圈,西南,13.348164627363737
LF1708830609125670912,2000,120.0,3,燕顺路东商圈,南 北,16.666666666666668
LF1666705860228808704,1200,98.18,3,燕顺路东商圈,南 北,12.222448563862294
LF1717492396557598720,1100,60.19,1,燕顺路东商圈,西,18.275461040039875
LF1696466256602857472,2000,90.0,3,燕顺路东商圈,南 北,22.22222222222222
LF1698174624094748672,1300,87.0,2,燕顺路东商圈,西南,14.942528735632184
LF1700469827858071552,1000,57.47,1,燕顺路东商圈,南,17.400382808421785
LF1709544667277688832,1500,94.0,2,燕顺路东商圈,东北,15.957446808510639
LF1689474503253426176,1100,41.0,1,燕顺路东商圈,北,26.829268292682926
LF1606491646109679616,1500,91.43,2,燕顺路东商圈,南 北,16.405993656349118
LF1576042450349195264,1600,57.98,1,燕顺路东商圈,南,27.59572266298724
LF2768217168876683264,1200,125.0,4,燕顺路东商圈,南 北,9.6
LF1700419919880912896,1300,97.0,2,燕顺路东商圈,西北,13.402061855670103
LF1696798716364587008,1000,60.0,1,燕顺路东商圈,北,16.666666666666668
LF1691726333027024896,1000,60.0,1,燕顺路东商圈,南,16.666666666666668
LF1685974739421495296,1500,94.0,2,燕顺路东商圈,东北,15.957446808510639
LF1677616985346670592,1900,89.0,3,燕顺路东商圈,南 北,21.348314606741575
LF1669169826985148416,1100,86.0,2,燕顺路东商圈,东南,12.790697674418604
LF1673170371840311296,2200,115.42,3,燕顺路东商圈,南 北,19.06082134811991
LF1719202341778882560,1500,74.0,1,燕顺路东商圈,南,20.27027027027027
LF1610933376305332224,1800,78.0,2,燕顺路东商圈,南 北,23.076923076923077
LF1716783893572485120,1000,59.18,1,燕顺路东商圈,北,16.897600540723218
LF1693128574397054976,1200,80.0,2,燕顺路东商圈,南 北,15.0
LF1682237793473921024,1200,61.0,2,燕顺路东商圈,西南,19.672131147540984
LF1612806743417421824,1300,91.95,2,燕顺路东商圈,西,14.138118542686241
LF1667013222961512448,1500,78.0,2,燕顺路东商圈,南 北,19.23076923076923
LF1678018253986725888,2400,123.0,3,燕顺路东商圈,南 北,19.51219512195122
LF1659183821972570112,1000,89.67,1,燕顺路东商圈,西南,11.152001784320285
LF1650047906415116288,1300,86.0,2,燕顺路东商圈,南 北,15.116279069767442
LF1652161408718077952,1700,117.0,3,燕顺路东商圈,西北,14.52991452991453
LF1677889083432501248,2300,116.0,3,燕顺路东商圈,西,19.82758620689655
LF1684395056548544512,1000,84.0,3,潮白商圈,南 北,11.904761904761905
LF1684406045314646016,1200,138.32,4,潮白商圈,南 北,8.675534991324465
LF1684144996636164096,1666,112.0,3,潮白商圈,南 北,14.875
LF1684149264831217664,1200,73.0,2,潮白商圈,南,16.438356164383563
LF1684114491341537280,1000,88.34,2,潮白商圈,南 北,11.319900384876613
LF1684115126128476160,500,88.34,2,潮白商圈,南 北,5.659950192438306
LF1684487851992940544,1300,76.0,2,潮白商圈,南 北,17.105263157894736
LF1663418491425783808,1600,57.5,1,燕顺路东商圈,东,27.82608695652174
LF1704739705943228416,1500,93.0,2,燕顺路东商圈,西北,16.129032258064516
LF1686359755657838592,1500,93.0,2,燕顺路东商圈,南 北,16.129032258064516
LF1719198731837898752,1800,80.0,2,燕顺路东商圈,南 北,22.5
LF1706884390199492608,1800,115.42,3,燕顺路东商圈,南 北,15.595217466643563
LF1702636913573232640,1800,93.0,3,燕顺路东商圈,南,19.35483870967742
LF1717540674460450816,1700,90.0,2,燕顺路东商圈,南 北,18.88888888888889
LF1666043170254749696,1400,62.67,1,燕顺路东商圈,北,22.33923727461305
LF1585854486558015488,1700,60.0,1,燕顺路东商圈,南,28.333333333333332
LF1685896000905936896,1600,116.0,2,燕顺路东商圈,南,13.793103448275861
LF1698556784010067968,1500,86.0,2,燕顺路东商圈,东南,17.441860465116278
LF1656585167818457088,1900,76.24,2,燕顺路东商圈,西,24.92130115424974
LF1685948154253410304,1800,81.38,2,燕顺路东商圈,南,22.118456623248957
LF1637315527850328064,1700,100.0,3,燕顺路东商圈,南 北,17.0
LF1684508878735147008,1600,96.0,3,潮白商圈,南 北,16.666666666666668
LF1684508902667845632,500,76.0,2,潮白商圈,南 北,6.578947368421052
LF1684775797165916160,1300,74.03,2,潮白商圈,南,17.56044846683777
LF1684850562954166272,1600,74.0,2,潮白商圈,南,21.62162162162162
LF1684862399531712512,1300,75.0,2,潮白商圈,南 北,17.333333333333332
LF1685199164926853120,1300,88.0,2,潮白商圈,南 北,14.772727272727273
LF1685236632464130048,1400,85.0,2,潮白商圈,南,16.470588235294116
LF1684887814350569472,2800,170.05,4,潮白商圈,南 北,16.465745369009113
LF1685496848409690112,1000,83.0,2,潮白商圈,南 北,12.048192771084338
LF1700029918533910528,1500,153.46,4,燕顺路东商圈,南 西北,9.77453408054216
LF1637504053757870080,1500,106.96,3,燕顺路东商圈,南 北,14.023934181002245
LF1713026096645013504,1900,93.0,2,燕顺路东商圈,南 北,20.43010752688172
LF1610983119530229760,1300,91.17,2,燕顺路东商圈,西北,14.259076450586816
LF1676599586203893760,700,77.0,2,燕顺路东商圈,南,9.090909090909092
LF1642009733038604288,1100,64.0,2,燕顺路东商圈,南,17.1875
LF1682220169994174464,2200,113.0,3,燕顺路东商圈,南 北,19.469026548672566
LF1710953538068152320,1000,84.6,2,燕顺路东商圈,西南,11.82033096926714
LF1654706720917684224,2300,89.91,2,燕顺路东商圈,南 北,25.581136692247803
LF1685501704121876480,1800,89.0,3,潮白商圈,南 北,20.224719101123597
LF1685522729878421504,1400,75.0,2,潮白商圈,南 北,18.666666666666668
LF1715567742368612352,1200,76.0,2,潮白商圈,南 北,15.789473684210526
LF1715610992865443840,1300,81.0,2,潮白商圈,南,16.049382716049383
LF1715727426643820544,1300,67.0,1,潮白商圈,西北,19.402985074626866
LF1715997047418519552,3000,98.0,3,潮白商圈,南 北,30.612244897959183
LF1685493222446465024,1300,78.0,2,潮白商圈,南,16.666666666666668
LF1685275778729639936,1200,85.0,2,潮白商圈,南,14.117647058823529
LF1716382281251160064,1200,80.0,2,潮白商圈,南,15.0
LF1685574922492968960,600,89.0,2,潮白商圈,南,6.741573033707865
LF1716419683332128768,1500,78.0,2,潮白商圈,西南,19.23076923076923
LF1716771459151429632,500,89.0,2,潮白商圈,南 北,5.617977528089888
LF1685875508123795456,1500,85.0,3,潮白商圈,南 北,17.647058823529413
LF1717839113731702784,400,82.0,2,潮白商圈,南 北,4.878048780487805
LF1712796674524446720,1000,62.49,1,燕顺路西商圈,东,16.002560409665545
LF1703018482305597440,1800,96.84,2,燕顺路西商圈,南 北,18.587360594795538
LF2869055746744516608,2000,120.0,3,燕顺路西商圈,南 北,16.666666666666668
LF1687037133266616320,1900,91.46,2,燕顺路西商圈,南 北,20.774108900065603
LF1667794846934368256,1600,83.0,2,燕顺路西商圈,南,19.27710843373494
LF1717485007624208384,1300,65.0,1,燕顺路西商圈,西,20.0
LF1647937533952131072,1500,94.0,2,燕顺路西商圈,南 北,15.957446808510639
LF1691348233437052928,1500,90.0,2,燕顺路西商圈,南,16.666666666666668
LF1700116620774473728,1100,64.8,1,燕顺路西商圈,西,16.97530864197531
LF1630046246670434304,1500,87.37,2,燕顺路西商圈,南,17.168364427148905
LF1690589863952252928,1200,55.0,1,燕顺路西商圈,南,21.818181818181817
LF1695302591870664704,1500,70.66,1,燕顺路西商圈,南,21.228417775261818
LF1679077619716325376,2500,131.0,3,燕顺路西商圈,南 北,19.083969465648856
LF1702539236948836352,1200,61.76,1,燕顺路西商圈,东,19.430051813471504
LF1594909449330360320,1400,51.0,1,夏威夷商圈,东 北,27.45098039215686
LF1605084643168616448,1700,89.27,2,夏威夷商圈,西南,19.04335162988686
LF1568106011720417280,1400,86.0,2,夏威夷商圈,南,16.27906976744186
LF1569164400051355648,1200,86.0,2,夏威夷商圈,南 北,13.953488372093023
LF1577275112967634944,1500,57.14,1,夏威夷商圈,南,26.251312565628282
LF1611916855042113536,2000,96.0,2,夏威夷商圈,南,20.833333333333332
LF1613858371889266688,1800,89.0,2,夏威夷商圈,南 北,20.224719101123597
LF1584777817957072896,1500,88.0,2,夏威夷商圈,南 北,17.045454545454547
LF1622454473890725888,1200,54.0,1,夏威夷商圈,南 北,22.22222222222222
LF1622804044764413952,1100,44.0,1,夏威夷商圈,北,25.0
LF1622867390205263872,1700,91.0,2,夏威夷商圈,南,18.681318681318682
LF1623187283312115712,1000,44.0,1,夏威夷商圈,北,22.727272727272727
LF1624966709926428672,1400,89.0,2,夏威夷商圈,南,15.730337078651685
LF1624705611222482944,1500,86.0,2,夏威夷商圈,南 北,17.441860465116278
LF1624617674715693056,1800,95.0,2,夏威夷商圈,南,18.94736842105263
LF1602627427941482496,1300,75.0,2,夏威夷商圈,南 北,17.333333333333332
LF1602907536095182848,1500,87.46,2,夏威夷商圈,南 北,17.150697461696776
LF1603246082643460096,1900,88.3,2,夏威夷商圈,南,21.517553793884485
LF1602865199595913216,1600,89.97,2,夏威夷商圈,南,17.783705679671
LF1604002189548716032,1200,40.21,1,夏威夷商圈,南,29.843322556577967
LF1603637893073469440,1400,93.0,2,夏威夷商圈,南,15.053763440860216
LF1638541836085624832,1700,90.87,2,夏威夷商圈,南 北,18.70804445911742
LF1638090690535620608,1800,88.0,2,夏威夷商圈,南 北,20.454545454545453
LF1639115790588313600,850,42.45,1,夏威夷商圈,北,20.023557126030624
LF1639534539510382592,1300,54.0,1,夏威夷商圈,南,24.074074074074073
LF1639651212376670208,2300,123.43,3,夏威夷商圈,南 西,18.63404358745848
LF1639629733215862784,1600,57.0,1,夏威夷商圈,南,28.07017543859649
LF1625046676676804608,1650,84.0,2,夏威夷商圈,南,19.642857142857142
LF1624618196420001792,1700,87.96,2,夏威夷商圈,南 西北,19.326966803092315
LF1610921100521242624,1500,78.54,2,天洋城商圈,南,19.098548510313215
LF1572809870472642560,3300,169.45,5,天洋城商圈,南 北,19.47477131897315
LF1711334009260212224,1000,50.0,1,天洋城商圈,东,20.0
LF1712308901279432704,1400,60.78,1,天洋城商圈,东南,23.03389272787101
LF1711727547265318912,1400,62.0,1,天洋城商圈,东,22.580645161290324
LF1712424356967088128,1200,54.44,1,天洋城商圈,东,22.04261572373255
LF1712741691582054400,1500,60.0,1,天洋城商圈,西北,25.0
LF1708378430736695296,1800,92.0,2,天洋城商圈,南 北,19.565217391304348
LF1709118393786826752,1300,60.86,1,天洋城商圈,东南,21.360499507065395
LF1709504523808014336,1700,112.0,3,天洋城商圈,南 北,15.178571428571429
LF1709905682087542784,1800,86.0,2,天洋城商圈,南 北,20.930232558139537
LF1680418302855217152,1500,73.0,2,天洋城商圈,西北,20.54794520547945
LF1681245956856610816,1680,79.69,2,天洋城商圈,东,21.081691554774753
LF1713867622992314368,1300,85.0,2,天洋城商圈,南 北,15.294117647058824
LF1713816026518388736,2500,94.0,2,天洋城商圈,东南,26.595744680851062
LF1713777903017132032,1600,54.55,1,天洋城商圈,南,29.33088909257562
LF1714494894203994112,1300,63.0,1,天洋城商圈,东,20.634920634920636
LF1714999058734514176,1500,62.81,1,天洋城商圈,东北,23.881547524279572
LF1715296651461001216,900,42.15,1,天洋城商圈,东,21.352313167259787
LF1715726381100302336,2100,120.0,3,天洋城商圈,南 北,17.5
LF1716395908364500992,3500,128.0,3,天洋城商圈,南 北,27.34375
LF1716655720612495360,1200,40.95,1,天洋城商圈,西,29.304029304029303
LF1710952873568763904,1250,56.0,1,天洋城商圈,东北,22.321428571428573
LF1682616556640534528,1900,114.95,3,天洋城商圈,南 北,16.52892561983471
LF1711687767546658816,1500,84.54,2,天洋城商圈,南,17.743080198722495
LF1711690064813096960,1100,40.0,1,天洋城商圈,西,27.5
LF1683424221373399040,1500,55.0,1,天洋城商圈,南,27.272727272727273
LF1683418151951269888,1300,55.56,1,天洋城商圈,东北,23.39812814974802
LF1716700754992955392,1700,90.0,2,天洋城商圈,南,18.88888888888889
LF1718110245449891840,1050,40.0,1,天洋城商圈,北,26.25
LF1718533841678761984,1400,57.0,1,天洋城商圈,西,24.56140350877193
LF1719197737737519104,1800,112.0,3,天洋城商圈,南 北,16.071428571428573
LF1674630605599408128,1350,62.86,2,天洋城商圈,东北,21.47629653197582
LF1684935149768146944,1500,91.28,2,天洋城商圈,南,16.432953549517965
LF1718948321411727360,1700,89.0,2,天洋城商圈,南,19.10112359550562
LF1712676453423775744,1600,87.85,2,天洋城商圈,南,18.21286283437678
LF1703611952065937408,1900,93.0,2,天洋城商圈,南 北,20.43010752688172
LF1712042299149516800,1600,95.25,2,天洋城商圈,南 北,16.79790026246719
LF1691039392543539200,1200,45.0,1,天洋城商圈,西,26.666666666666668
LF1716718176131088384,1350,54.0,2,天洋城商圈,西北,25.0
LF1716405799535771648,4100,170.0,3,天洋城商圈,南 北,24.11764705882353
LF2905260464508239872,1900,91.81,2,天洋城商圈,南 北,20.694913408125476
LF1572162434230124544,1200,40.95,1,天洋城商圈,西,29.304029304029303
LF1670756706692366336,1400,71.0,2,天洋城商圈,东 西,19.718309859154928
LF1719231904776978432,1500,63.0,2,天洋城商圈,东北,23.80952380952381
LF1706495492503896064,2300,118.95,3,天洋城商圈,南 北,19.33585540142917
LF1661960321008402432,3000,111.0,3,天洋城商圈,南 北,27.027027027027028
LF1719221057795129344,1200,67.71,2,天洋城商圈,东北,17.722640673460347
LF1696153903638249472,1500,80.03,2,天洋城商圈,南,18.74297138573035
LF1680905870759690240,1500,82.0,2,理想新城商圈,南,18.29268292682927
LF1586571373122158592,1900,86.0,2,理想新城商圈,南,22.093023255813954
LF1643913306638909440,2000,109.0,3,理想新城商圈,南 北,18.34862385321101
LF1625364065008222208,2200,103.55,3,理想新城商圈,南 北,21.245774987928538
LF1718170020657233920,2000,109.0,3,理想新城商圈,南 北,18.34862385321101
LF1625766773670281216,2200,86.53,3,理想新城商圈,东南,25.424708193690048
LF1640677380336910336,1400,80.0,2,理想新城商圈,南,17.5
LF1652544210915557376,1600,80.0,2,理想新城商圈,南 北,20.0
LF1680774793491644416,1500,86.15,2,理想新城商圈,南 北,17.411491584445734
LF1638425963974885376,800,82.62,2,理想新城商圈,南,9.682885499878964
LF1638865992853487616,2100,103.0,3,理想新城商圈,南 北,20.388349514563107
LF1638104251093745664,1900,103.26,3,理想新城商圈,南 北,18.40015494867325
LF1719207347517128704,1800,87.0,2,理想新城商圈,东南,20.689655172413794
LF1703984807555366912,1300,78.13,2,理想新城商圈,南,16.638935108153078
LF1592115292190801920,1800,79.0,2,理想新城商圈,南,22.78481012658228
LF1708063375478489088,900,83.0,2,理想新城商圈,南,10.843373493975903
LF1654332423090995200,2000,102.76,3,理想新城商圈,南 北,19.46282600233554
LF1658679377635835904,1800,86.0,2,理想新城商圈,东 南 北,20.930232558139537
LF1603623775700516864,1600,78.32,2,理想新城商圈,南,20.42900919305414
LF1692835378077106176,1300,100.0,3,安次,南 北,13.0
LF1665947010227765248,1400,127.34,3,安次,南 北,10.994188785927438
LF1706946495615336448,1400,100.0,2,安次,南,14.0
LF1702970436305813504,1200,74.0,2,安次,南 北,16.216216216216218
LF1704047889128357888,1700,98.0,3,安次,南 北,17.346938775510203
LF1711730191174205440,1050,78.0,2,安次,南 北,13.461538461538462
LF1672798664688402432,1800,120.0,3,安次,南 北,15.0
LF1612283681999683584,1500,78.0,2,理想新城商圈,南,19.23076923076923
LF1630436604495527936,2000,80.0,2,理想新城商圈,南 北,25.0
LF1655858625576435712,2700,109.0,3,理想新城商圈,南 北,24.770642201834864
LF1660207294551425024,1500,78.46,2,理想新城商圈,南,19.118021921998473
LF1662114144481968128,1800,89.0,3,理想新城商圈,南,20.224719101123597
LF1659879110740017152,1500,86.0,2,理想新城商圈,南,17.441860465116278
LF1661683841120600064,1000,136.0,3,理想新城商圈,南 北,7.352941176470588
LF1717136205922959360,1600,82.0,2,理想新城商圈,南,19.51219512195122
LF1706226223308341248,1500,87.0,2,理想新城商圈,南 北,17.24137931034483
LF1610149479736934400,1400,79.85,2,理想新城商圈,南 北,17.532874139010648
LF1693627049614245888,1500,96.0,2,安次,南 北,15.625
LF1650422358948708352,800,34.0,1,安次,北,23.529411764705884
LF1636197469953982464,1200,87.0,2,安次,南 北,13.793103448275861
LF1673542883539419136,1100,54.0,2,安次,南 北,20.37037037037037
LF1718539506308612096,1500,88.0,2,安次,南 北,17.045454545454547
LF1689836654707081216,1300,90.73,2,安次,南 北,14.328226606414637
LF1676873740966690816,1400,89.84,2,安次,南 北,15.583259127337488
LF1719192638344658944,1460,119.0,3,安次,西南,12.268907563025211
LF1681641999280635904,1500,100.0,3,安次,南 北,15.0
LF1708406641562484736,1200,96.0,2,安次,南 北,12.5
LF1665991687475822592,1500,100.0,3,安次,南,15.0
LF1718907262019305472,1500,80.0,2,安次,南,18.75
LF1713818503322009600,1000,37.0,1,安次,南,27.027027027027028
LF1719212873994993664,900,36.97,1,安次,东,24.344062753583987
LF1719219513494339584,1500,82.0,2,安次,南,18.29268292682927
LF1718575963098316800,1500,90.0,2,安次,南 北,16.666666666666668
LF1708441148176990208,1300,93.0,3,安次,南 北,13.978494623655914
LF1714604323507273728,1500,95.0,2,安次,南 北,15.789473684210526
LF1710220375683497984,1850,96.0,3,安次,南 北,19.270833333333332
LF1717104129974730752,2000,94.0,3,安次,南 北,21.27659574468085
LF1718131567122972672,1500,98.0,3,安次,南 北,15.306122448979592
LF1690198421836660736,1000,87.0,2,安次,南 北,11.494252873563218
LF1690213521133928448,1300,66.0,2,安次,南,19.696969696969695
LF1690206070984671232,1800,115.0,2,安次,东,15.652173913043478
LF1689964219413299200,1750,90.0,2,安次,南 北,19.444444444444443
LF1689946101248950272,1050,83.0,2,安次,南,12.650602409638553
LF1690219455348473856,2200,126.0,3,安次,南 北,17.46031746031746
LF1690230203323777024,1700,125.0,3,安次,南,13.6
LF1679101343282757632,1300,65.0,2,安次,南,20.0
LF1693854252939608064,1100,80.0,2,安次,南 北,13.75
LF1693447122721964032,1000,53.0,1,安次,南,18.867924528301888
LF1648232831836487680,1600,117.0,3,安次,南 北,13.675213675213675
LF1705792030648565760,1600,88.0,2,安次,南,18.181818181818183
LF1681238688685621248,1500,107.0,3,安次,南,14.018691588785046
LF1690268984110219264,1200,90.0,2,安次,南,13.333333333333334
LF1690348854911696896,1350,90.0,2,安次,南 北,15.0
LF1690355647691882496,900,45.0,1,安次,南 北,20.0
LF1690578824405712896,1500,115.91,2,安次,西,12.941074971961005
LF1690567468872892416,1700,97.0,3,安次,南 北,17.52577319587629
LF1690635896149245952,1700,105.0,3,安次,南 北,16.19047619047619
LF1690679289697009664,1000,100.0,2,安次,南,10.0
LF1690655265436729344,1200,80.0,2,安次,南,15.0
LF1653983228555427840,1700,80.0,2,安次,东 西,21.25
LF1654341240168120320,1500,76.08,2,安次,南 北,19.71608832807571
LF1654418326236954624,1500,71.0,2,安次,南 北,21.12676056338028
LF1654705700766482432,1000,85.0,2,安次,南,11.764705882352942
LF1693944564999520256,1700,90.0,2,安次,南 北,18.88888888888889
LF1694318663097647104,1100,60.0,2,安次,南 北,18.333333333333332
LF1694296421580144640,1300,95.0,3,安次,南 北,13.68421052631579
LF1656880664126947328,1300,50.0,2,安次,南,26.0
LF1660532004329881600,1600,90.0,2,安次,南,17.77777777777778
LF1697568232338096128,900,57.08,2,安次,南,15.767344078486335
LF1701836278699393024,1500,118.0,3,安次,南 北,12.711864406779661
LF1713121868908593152,1300,80.0,2,安次,南 北,16.25
LF1706940176481124352,1500,107.0,3,安次,南 北,14.018691588785046
LF1669283891212451840,1400,88.0,2,安次,南,15.909090909090908
LF1685521164572557312,1000,47.0,1,安次,南,21.27659574468085
LF1588362194867716096,1300,92.0,3,安次,南 北,14.130434782608695
LF1577972221278683136,1300,98.0,2,安次,南 北,13.26530612244898
LF1686320282043678720,1400,107.0,3,安次,南 北,13.08411214953271
LF1694653026641379328,1400,89.0,2,安次,南 北,15.730337078651685
LF1672451524212555776,1600,100.0,3,安次,南 北,16.0
LF1713064020711309312,1000,45.81,1,安次,南,21.829294913774284
LF1706987017889382400,1800,98.0,3,安次,南 北,18.367346938775512
LF1701161227171921920,1300,82.35,2,安次,南,15.78627808136005
LF1693942776728649728,1500,76.0,2,安次,南,19.736842105263158
LF1716308517490524160,1600,96.0,2,安次,南 北,16.666666666666668
LF1658668880085647360,1400,105.0,3,安次,南 北,13.333333333333334
LF1693246970673496064,1100,78.0,2,安次,南 北,14.102564102564102
LF1694297962240278528,1800,128.0,3,安次,南 北,14.0625
LF1694210047367708672,1500,87.0,2,安次,南,17.24137931034483
LF1694259269890736128,800,50.0,2,安次,西北,16.0
LF1694361752776474624,2000,92.0,3,安次,南,21.73913043478261
LF1694561950156980224,1000,83.0,2,安次,南,12.048192771084338
LF1694635588264656896,1400,90.0,2,安次,南 北,15.555555555555555
LF1694614531201826816,2000,110.0,3,安次,南 北,18.181818181818183
LF1664844975138930688,1200,70.0,2,安次,西,17.142857142857142
LF1647464091880521728,1200,86.0,2,安次,南,13.953488372093023
LF1708345366413312000,1100,41.6,1,安次,南,26.44230769230769
LF1717375203614392320,1100,58.0,1,安次,南,18.96551724137931
LF1708689358296449024,1500,64.01,1,安次,南,23.433838462740194
LF1674352447201476608,2000,105.0,3,安次,南 北,19.047619047619047
LF1702595153220337664,1300,94.0,3,安次,南,13.829787234042554
LF1686948740755095552,1600,90.0,3,安次,南 北,17.77777777777778
LF1652225541035524096,1300,74.0,2,安次,南,17.56756756756757
LF1681601568794738688,1200,87.0,2,安次,南 北,13.793103448275861
LF1674612766914117632,1300,108.0,3,安次,南 北,12.037037037037036
LF1691391209328607232,1000,41.0,1,安次,西南,24.390243902439025
LF1686212953126207488,1800,108.0,3,安次,南 北,16.666666666666668
LF1696453373189947392,1400,108.0,3,安次,南 北,12.962962962962964
LF1673284737789067264,1500,85.0,3,安次,南 北,17.647058823529413
LF1652878133503721472,1300,103.84,3,安次,南 北,12.519260400616332
LF1672083959808262144,1500,120.0,3,安次,南 北,12.5
LF1671845330330583040,1500,96.0,3,安次,南 北,15.625
LF1709105995352899584,1500,82.0,2,安次,南 北,18.29268292682927
LF1713102107860533248,1000,40.0,1,安次,西南,25.0
LF1718461636596989952,1300,84.15,2,安次,南 北,15.448603683897801
LF1707627642078887936,1350,80.33,2,安次,南,16.805676584090627
LF1677872630843047936,1400,90.0,2,安次,南,15.555555555555555
LF1713072624365469696,1300,64.0,1,安次,西 北,20.3125
LF1717057268941324288,1500,89.0,2,安次,南,16.853932584269664
LF1650001473213300736,1336,82.0,2,安次,南,16.29268292682927
